epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1046.42,1.21462,1.15223,1.36225,0.74071,0.56484,0.6593,0.39673,1.38019,1.19983,1.52358,0.0011882,0.0011882,0.0011882
43,1070.8,1.21615,1.14493,1.36752,0.73287,0.57363,0.6608,0.39649,1.40077,1.19158,1.54903,0.0011684,0.0011684,0.0011684
44,1095.14,1.19499,1.12496,1.34566,0.73526,0.56591,0.66383,0.39602,1.39245,1.19774,1.53417,0.0011486,0.0011486,0.0011486
45,1119.32,1.22514,1.1448,1.36116,0.73808,0.56591,0.66298,0.39818,1.36648,1.17296,1.51044,0.0011288,0.0011288,0.0011288
46,1144.25,1.19101,1.10974,1.35274,0.7413,0.56225,0.66717,0.39778,1.36108,1.1781,1.50915,0.001109,0.001109,0.001109
47,1169.88,1.19791,1.09586,1.34866,0.76727,0.56446,0.66184,0.40461,1.37827,1.16721,1.51677,0.0010892,0.0010892,0.0010892
48,1195.31,1.19311,1.10438,1.34213,0.75575,0.56439,0.66757,0.40226,1.38149,1.16219,1.53708,0.0010694,0.0010694,0.0010694
49,1219.91,1.19568,1.11132,1.34387,0.73416,0.58788,0.66792,0.40339,1.37005,1.15672,1.51034,0.0010496,0.0010496,0.0010496
50,1244.72,1.1889,1.08339,1.33583,0.75383,0.57197,0.66246,0.40105,1.36418,1.17431,1.51544,0.0010298,0.0010298,0.0010298
51,1269.67,1.17836,1.08166,1.33066,0.73885,0.59091,0.67183,0.402,1.36541,1.1512,1.49911,0.00101,0.00101,0.00101
52,1294.15,1.18048,1.09098,1.33844,0.77435,0.58258,0.68233,0.41204,1.38126,1.12455,1.52734,0.0009902,0.0009902,0.0009902
53,1319.76,1.16899,1.06815,1.33292,0.76653,0.56212,0.66428,0.40368,1.35298,1.16433,1.50214,0.0009704,0.0009704,0.0009704
54,1344,1.15501,1.05875,1.31831,0.7591,0.5697,0.68108,0.41911,1.34669,1.11877,1.48851,0.0009506,0.0009506,0.0009506
55,1368.23,1.18464,1.06719,1.33606,0.80394,0.57197,0.6888,0.41856,1.33886,1.10663,1.4894,0.0009308,0.0009308,0.0009308
56,1392.43,1.15626,1.03378,1.3094,0.74457,0.58788,0.68051,0.40836,1.37525,1.14221,1.52399,0.000911,0.000911,0.000911
57,1417.15,1.15713,1.04031,1.31486,0.78553,0.56212,0.68215,0.40941,1.35789,1.12283,1.49576,0.0008912,0.0008912,0.0008912
58,1441.8,1.1378,1.01166,1.3039,0.75477,0.58525,0.67717,0.41381,1.36743,1.11384,1.51375,0.0008714,0.0008714,0.0008714
59,1466.68,1.15607,1.03272,1.31738,0.72426,0.60492,0.68299,0.41429,1.36271,1.11157,1.51365,0.0008516,0.0008516,0.0008516
60,1491.74,1.13053,1.01441,1.30668,0.72902,0.61552,0.67791,0.40985,1.34987,1.1289,1.49881,0.0008318,0.0008318,0.0008318
61,1516.49,1.13694,1.00897,1.30293,0.7701,0.575,0.67962,0.4149,1.35985,1.10737,1.49439,0.000812,0.000812,0.000812
62,1540.91,1.14436,1.01356,1.30703,0.80704,0.58712,0.68792,0.42068,1.34879,1.10361,1.49182,0.0007922,0.0007922,0.0007922
63,1565.23,1.13511,0.99402,1.30397,0.77329,0.58409,0.67446,0.4175,1.32593,1.10611,1.47578,0.0007724,0.0007724,0.0007724
64,1588.91,1.11993,1.00696,1.29382,0.73356,0.59545,0.68185,0.42095,1.33786,1.10975,1.4733,0.0007526,0.0007526,0.0007526
65,1612.5,1.11367,0.98008,1.27927,0.78862,0.5879,0.69431,0.43214,1.32258,1.0794,1.46671,0.0007328,0.0007328,0.0007328
66,1636.3,1.11448,0.9777,1.28966,0.76194,0.60134,0.6881,0.42576,1.34436,1.08967,1.49083,0.000713,0.000713,0.000713
67,1660.08,1.10691,0.97191,1.2869,0.76692,0.60823,0.68829,0.42344,1.3328,1.09303,1.47082,0.0006932,0.0006932,0.0006932
68,1683.68,1.09695,0.96126,1.26786,0.77573,0.59924,0.69675,0.42624,1.33458,1.07165,1.46301,0.0006734,0.0006734,0.0006734
69,1707.46,1.09545,0.96972,1.27024,0.78495,0.59728,0.69392,0.42608,1.33317,1.07335,1.46873,0.0006536,0.0006536,0.0006536
70,1731.06,1.09618,0.94685,1.26573,0.79494,0.58149,0.69498,0.4296,1.33054,1.05585,1.46959,0.0006338,0.0006338,0.0006338
71,1755.13,1.09859,0.95179,1.27298,0.78018,0.60227,0.69638,0.42787,1.32924,1.06493,1.47527,0.000614,0.000614,0.000614
72,1778.81,1.09317,0.94936,1.27069,0.78954,0.5947,0.69721,0.42781,1.33519,1.0704,1.46936,0.0005942,0.0005942,0.0005942
73,1802.63,1.08324,0.94303,1.26054,0.75699,0.60885,0.68785,0.42318,1.33738,1.06168,1.47585,0.0005744,0.0005744,0.0005744
74,1826.56,1.10818,0.95279,1.26915,0.78975,0.58106,0.69471,0.42387,1.3421,1.06796,1.47298,0.0005546,0.0005546,0.0005546
75,1850.29,1.07387,0.92308,1.25629,0.7717,0.59394,0.69576,0.42144,1.33315,1.07787,1.46499,0.0005348,0.0005348,0.0005348
76,1874.79,1.0864,0.92627,1.26021,0.76939,0.60154,0.6925,0.43,1.33033,1.07692,1.46563,0.000515,0.000515,0.000515
77,1899.17,1.09047,0.9254,1.26203,0.78483,0.59848,0.69103,0.42819,1.32781,1.06467,1.46896,0.0004952,0.0004952,0.0004952
78,1923.66,1.05974,0.91007,1.243,0.75968,0.59545,0.69274,0.4277,1.32552,1.05322,1.46745,0.0004754,0.0004754,0.0004754
79,1947.63,1.07387,0.91689,1.25441,0.75834,0.60859,0.68923,0.42497,1.33117,1.07145,1.46874,0.0004556,0.0004556,0.0004556
80,1972.1,1.06364,0.91246,1.25167,0.76811,0.60476,0.69461,0.43053,1.32158,1.05771,1.45403,0.0004358,0.0004358,0.0004358
81,1996.75,1.07649,0.92123,1.25781,0.78146,0.58485,0.68909,0.42918,1.32501,1.05822,1.47099,0.000416,0.000416,0.000416
82,2020.89,1.07077,0.89179,1.24332,0.74629,0.61515,0.69142,0.42836,1.33169,1.05161,1.47037,0.0003962,0.0003962,0.0003962
83,2045.19,1.0615,0.8997,1.2433,0.77322,0.60606,0.6967,0.43455,1.32318,1.05547,1.46025,0.0003764,0.0003764,0.0003764
84,2069.62,1.04386,0.87252,1.23084,0.76296,0.61061,0.69506,0.43325,1.31503,1.05016,1.45558,0.0003566,0.0003566,0.0003566
85,2093.81,1.03916,0.87749,1.23273,0.75624,0.61364,0.69685,0.43313,1.32527,1.05289,1.45986,0.0003368,0.0003368,0.0003368
86,2117.61,1.04213,0.87073,1.22744,0.78328,0.57576,0.69469,0.43235,1.3279,1.05538,1.46089,0.000317,0.000317,0.000317
