epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1101.54,1.17795,2.69167,1.05603,1.31961,0.74195,0.58788,0.67201,0.40906,0.77592,0.5303,0.61296,0.29683,1.38025,3.00887,1.16974,1.51901,0.0014258,0.0014258,0.0014258
31,1138.09,1.15187,2.65934,1.03186,1.30356,0.69746,0.61651,0.67495,0.40627,0.71767,0.53342,0.59788,0.29367,1.39052,3.00803,1.16333,1.53633,0.001406,0.001406,0.001406
32,1174.13,1.16896,2.66555,1.02816,1.30643,0.75376,0.57803,0.67885,0.41262,0.77458,0.53485,0.60873,0.30262,1.38352,2.98998,1.12214,1.52286,0.0013862,0.0013862,0.0013862
33,1210.45,1.17075,2.67784,1.02808,1.31048,0.7352,0.58182,0.66198,0.40306,0.73281,0.52984,0.58766,0.29459,1.38515,2.97834,1.20206,1.5299,0.0013664,0.0013664,0.0013664
34,1246.74,1.15033,2.63519,1.00803,1.30516,0.72863,0.59193,0.68321,0.41249,0.75748,0.53788,0.61613,0.29675,1.37887,2.99862,1.16344,1.51027,0.0013466,0.0013466,0.0013466
35,1283.28,1.15161,2.63395,1.01151,1.2922,0.78966,0.58019,0.68903,0.41537,0.77874,0.5447,0.62525,0.30307,1.36489,3.00895,1.10254,1.5104,0.0013268,0.0013268,0.0013268
36,1319.77,1.13078,2.56771,0.98185,1.2845,0.76667,0.59992,0.68882,0.42351,0.75383,0.55682,0.62104,0.3103,1.36003,2.93677,1.10623,1.49357,0.001307,0.001307,0.001307
37,1356.04,1.14576,2.58883,0.98639,1.2819,0.75349,0.59318,0.68727,0.42078,0.72662,0.55455,0.61706,0.30795,1.36756,2.91565,1.10132,1.51169,0.0012872,0.0012872,0.0012872
38,1391.83,1.13197,2.57128,0.98034,1.28696,0.77887,0.575,0.69225,0.42041,0.81125,0.54052,0.63012,0.31491,1.37837,2.91854,1.10839,1.49362,0.0012674,0.0012674,0.0012674
39,1428.62,1.11891,2.58684,0.97193,1.2649,0.75861,0.59167,0.67817,0.41338,0.75731,0.56264,0.62276,0.31005,1.39352,2.96483,1.11449,1.53121,0.0012476,0.0012476,0.0012476
40,1464.85,1.11107,2.55002,0.95916,1.27327,0.76165,0.6052,0.69884,0.4295,0.76792,0.55648,0.63482,0.3176,1.35436,2.93864,1.06531,1.49296,0.0012278,0.0012278,0.0012278
41,1501.01,1.11776,2.5632,0.9653,1.2716,0.75936,0.62156,0.70102,0.43515,0.7282,0.57273,0.63773,0.31645,1.32285,2.92236,1.07063,1.4732,0.001208,0.001208,0.001208
42,1537.09,1.10664,2.52749,0.93553,1.26442,0.77064,0.60985,0.70062,0.43487,0.72841,0.57502,0.6293,0.32234,1.32576,2.8977,1.05352,1.46888,0.0011882,0.0011882,0.0011882
43,1573.41,1.09779,2.52554,0.95808,1.26395,0.75202,0.60682,0.69005,0.42837,0.7856,0.54773,0.62407,0.31363,1.32648,2.94174,1.08623,1.4775,0.0011684,0.0011684,0.0011684
44,1609.68,1.09384,2.53388,0.94562,1.25873,0.76646,0.61162,0.69841,0.4364,0.75217,0.57348,0.6409,0.31989,1.33546,2.90055,1.05757,1.48652,0.0011486,0.0011486,0.0011486
